t_Myr,T_C
0.0021965,539.57
0.0022163,539.27
0.0022364,538.97
0.0022566,538.67
0.002277,538.36
0.0022976,538.04
0.0023184,537.72
0.0023393,537.39
0.0023605,537.05
0.0023818,536.71
0.0024033,536.36
0.0024251,536.01
0.002447,535.65
0.0024691,535.28
0.0024914,534.91
0.0025139,534.53
0.0025367,534.14
0.0025596,533.75
0.0025827,533.35
0.0026061,532.95
0.0026296,532.54
0.0026534,532.12
0.0026774,531.69
0.0027016,531.26
0.002726,530.82
0.0027507,530.38
0.0027755,529.93
0.0028006,529.47
0.002826,529.01
0.0028515,528.53
0.0028773,528.06
0.0029033,527.57
0.0029295,527.08
0.002956,526.58
0.0029827,526.07
0.0030097,525.56
0.0030369,525.04
0.0030644,524.52
0.0030921,523.98
0.00312,523.44
0.0031482,522.9
0.0031767,522.34
0.0032054,521.78
0.0032344,521.22
0.0032636,520.64
0.0032931,520.06
0.0033229,519.48
0.0033529,518.88
0.0033833,518.28
0.0034138,517.67
0.0034447,517.06
0.0034758,516.43
0.0035073,515.81
0.003539,515.17
0.003571,514.53
0.0036032,513.88
0.0036358,513.22
0.0036687,512.56
0.0037018,511.89
0.0037353,511.22
0.0037691,510.53
0.0038032,509.84
0.0038375,509.15
0.0038722,508.45
0.0039072,507.74
0.0039426,507.02
0.0039782,506.3
0.0040142,505.57
0.0040504,504.84
0.0040871,504.1
0.004124,503.35
0.0041613,502.59
0.0041989,501.83
0.0042369,501.07
0.0042752,500.29
0.0043138,499.52
0.0043528,498.73
0.0043922,497.94
0.0044319,497.14
0.0044719,496.34
0.0045124,495.53
0.0045532,494.71
0.0045943,493.89
0.0046359,493.06
0.0046778,492.23
0.0047201,491.39
0.0047627,490.55
0.0048058,489.7
0.0048492,488.84
0.0048931,487.98
0.0049373,487.11
0.0049819,486.24
0.005027,485.36
0.0050724,484.48
0.0051183,483.59
0.0051645,482.7
0.0052112,481.8
0.0052583,480.89
0.0053059,479.98
0.0053538,479.07
0.0054022,478.15
0.0054511,477.22
0.0055004,476.29
0.0055501,475.36
0.0056003,474.42
0.0056509,473.48
0.005702,472.53
0.0057535,471.57
0.0058055,470.62
0.005858,469.65
0.005911,468.69
0.0059644,467.72
0.0060183,466.74
0.0060727,465.76
0.0061276,464.78
0.006183,463.79
0.0062389,462.8
0.0062953,461.8
0.0063522,460.8
0.0064097,459.79
0.0064676,458.79
0.0065261,457.77
0.0065851,456.76
0.0066446,455.74
0.0067047,454.72
0.0067653,453.69
0.0068264,452.66
0.0068881,451.63
0.0069504,450.59
0.0070132,449.55
0.0070766,448.5
0.0071406,447.46
0.0072052,446.41
0.0072703,445.36
0.007336,444.3
0.0074024,443.24
0.0074693,442.18
0.0075368,441.11
0.0076049,440.05
0.0076737,438.98
0.007743,437.9
0.007813,436.83
0.0078837,435.75
0.0079549,434.67
0.0080269,433.59
0.0080994,432.5
0.0081726,431.42
0.0082465,430.33
0.0083211,429.24
0.0083963,428.14
0.0084722,427.05
0.0085488,425.95
0.0086261,424.85
0.0087041,423.75
0.0087827,422.64
0.0088621,421.54
0.0089423,420.43
0.0090231,419.32
0.0091047,418.21
0.009187,417.1
0.00927,415.99
0.0093538,414.88
0.0094384,413.76
0.0095237,412.64
0.0096098,411.52
0.0096967,410.41
0.0097843,409.28
0.0098728,408.16
0.009962,407.04
0.010052,405.92
0.010143,404.79
0.010235,403.67
0.010327,402.54
0.010421,401.41
0.010515,400.29
0.01061,399.16
0.010706,398.03
0.010803,396.9
0.0109,395.77
0.010999,394.64
0.011098,393.51
0.011198,392.38
0.0113,391.25
0.011402,390.11
0.011505,388.98
0.011609,387.85
0.011714,386.72
0.01182,385.59
0.011927,384.45
0.012034,383.32
0.012143,382.19
0.012253,381.06
0.012364,379.92
0.012476,378.79
0.012588,377.66
0.012702,376.53
0.012817,375.4
0.012933,374.27
0.01305,373.14
0.013168,372.01
0.013287,370.88
0.013407,369.75
0.013528,368.62
0.01365,367.49
0.013774,366.37
0.013898,365.24
0.014024,364.12
0.014151,362.99
0.014279,361.87
0.014408,360.75
0.014538,359.62
0.014669,358.5
0.014802,357.38
0.014936,356.26
0.015071,355.14
0.015207,354.03
0.015345,352.91
0.015483,351.8
0.015623,350.68
0.015764,349.57
0.015907,348.46
0.016051,347.35
0.016196,346.24
0.016342,345.13
0.01649,344.03
0.016639,342.92
0.01679,341.82
0.016941,340.72
0.017094,339.62
0.017249,338.52
0.017405,337.42
0.017562,336.33
0.017721,335.23
0.017881,334.14
0.018043,333.05
0.018206,331.96
0.018371,330.87
0.018537,329.79
0.018704,328.7
0.018873,327.62
0.019044,326.54
0.019216,325.46
0.01939,324.39
0.019565,323.31
0.019742,322.24
0.01992,321.17
0.020101,320.1
0.020282,319.03
0.020466,317.97
0.020651,316.9
0.020837,315.84
0.021026,314.78
0.021216,313.73
0.021408,312.67
0.021601,311.62
0.021796,310.57
0.021993,309.52
0.022192,308.47
0.022393,307.43
0.022595,306.39
0.0228,305.35
0.023006,304.31
0.023214,303.28
0.023424,302.24
0.023635,301.21
0.023849,300.19
0.024065,299.16
0.024282,298.14
0.024502,297.11
0.024723,296.1
0.024947,295.08
0.025172,294.07
0.0254,293.05
0.025629,292.04
0.025861,291.04
0.026095,290.03
0.026331,289.03
0.026569,288.03
0.026809,287.04
0.027051,286.04
0.027296,285.05
0.027543,284.06
0.027792,283.07
0.028043,282.09
0.028296,281.11
0.028552,280.13
0.02881,279.15
0.029071,278.18
0.029333,277.2
0.029599,276.24
0.029866,275.27
0.030136,274.31
0.030409,273.34
0.030684,272.39
0.030961,271.43
0.031241,270.48
0.031523,269.53
0.031808,268.58
0.032096,267.63
0.032386,266.69
0.032679,265.75
0.032974,264.81
0.033272,263.88
0.033573,262.95
0.033876,262.02
0.034183,261.09
0.034492,260.17
0.034804,259.25
0.035118,258.33
0.035436,257.42
0.035756,256.5
0.036079,255.59
0.036405,254.69
0.036735,253.78
0.037067,252.88
0.037402,251.98
0.03774,251.08
0.038081,250.19
0.038425,249.3
0.038773,248.41
0.039123,247.53
0.039477,246.64
0.039834,245.77
0.040194,244.89
0.040557,244.01
0.040924,243.14
0.041294,242.27
0.041667,241.41
0.042044,240.55
0.042424,239.69
0.042807,238.83
0.043194,237.97
0.043585,237.12
0.043979,236.27
0.044376,235.43
0.044778,234.58
0.045182,233.74
0.045591,232.91
0.046003,232.07
0.046419,231.24
0.046838,230.41
0.047262,229.58
0.047689,228.76
0.04812,227.94
0.048555,227.12
0.048994,226.3
0.049437,225.49
0.049884,224.68
0.050335,223.87
0.05079,223.07
0.051249,222.27
0.051713,221.47
0.05218,220.67
0.052652,219.88
0.053128,219.09
0.053608,218.3
0.054093,217.51
0.054582,216.73
0.055075,215.95
0.055573,215.17
0.056075,214.4
0.056582,213.63
0.057094,212.86
0.05761,212.09
0.058131,211.33
0.058656,210.57
0.059186,209.81
0.059722,209.06
0.060261,208.3
0.060806,207.56
0.061356,206.81
0.061911,206.06
0.06247,205.32
0.063035,204.58
0.063605,203.85
0.06418,203.11
0.06476,202.38
0.065345,201.66
0.065936,200.93
0.066532,200.21
0.067134,199.49
0.067741,198.77
0.068353,198.05
0.068971,197.34
0.069594,196.63
0.070224,195.93
0.070858,195.22
0.071499,194.52
0.072145,193.82
0.072798,193.13
0.073456,192.43
0.07412,191.74
0.07479,191.05
0.075466,190.37
0.076148,189.68
0.076837,189
0.077531,188.32
0.078232,187.65
0.078939,186.98
0.079653,186.31
0.080373,185.64
0.0811,184.97
0.081833,184.31
0.082572,183.65
0.083319,182.99
0.084072,182.34
0.084832,181.68
0.085599,181.03
0.086373,180.39
0.087154,179.74
0.087942,179.1
0.088737,178.46
0.089539,177.82
0.090348,177.19
0.091165,176.55
0.091989,175.92
