Time/Myr,Avg_T/Celsius,Min_T/Celsius,Max_T/Celsius,2xAvg_T/Celsius
172.5,107.1,101.745,112.455,
173,107.28,101.916,112.644,
173.5,107.46,102.087,112.833,
174,107.64,102.258,113.022,
174.5,107.82,102.429,113.211,
175,108,102.6,113.4,
175.5,108.18,102.771,113.589,
176,108.36,102.942,113.778,
176.5,108.54,103.113,113.967,
177,108.72,103.284,114.156,
177.5,108.9,103.455,114.345,
178,109.08,103.626,114.534,
178.5,109.26,103.797,114.723,
179,109.44,103.968,114.912,
179.5,109.62,104.139,115.101,
180,109.8,104.31,115.29,
180.5,109.98,104.481,115.479,
181,110.16,104.652,115.668,
181.5,110.34,104.823,115.857,
182,110.52,104.994,116.046,
182.5,110.7,105.165,116.235,
183,110.88,105.336,116.424,
183.5,111.06,105.507,116.613,
184,111.24,105.678,116.802,
184.5,111.42,105.849,116.991,
185,111.6,106.02,117.18,
185.5,111.78,106.191,117.369,
186,111.96,106.362,117.558,
186.5,112.14,106.533,117.747,
187,112.32,106.704,117.936,
187.5,112.5,106.875,118.125,
188,112.68,107.046,118.314,
188.5,112.86,107.217,118.503,
189,113.04,107.388,118.692,
189.5,113.22,107.559,118.881,
190,113.4,107.73,119.07,
190.5,113.58,107.901,119.259,
191,113.76,108.072,119.448,
191.5,113.94,108.243,119.637,
192,114.12,108.414,119.826,
192.5,114.3,108.585,120.015,
193,114.48,108.756,120.204,
193.5,114.66,108.927,120.393,
194,114.84,109.098,120.582,
194.5,115.02,109.269,120.771,
195,115.2,109.44,120.96,
195.5,115.38,109.611,121.149,
196,115.56,109.782,121.338,
196.5,115.74,109.953,121.527,
197,115.92,110.124,121.716,
197.5,116.1,110.295,121.905,
198,116.28,110.466,122.094,
198.5,116.46,110.637,122.283,
199,116.64,110.808,122.472,
199.5,116.82,110.979,122.661,
200,117,111.15,122.85,
200.5,117.18,111.321,123.039,
201,117.36,111.492,123.228,
201.5,117.54,111.663,123.417,
202,117.72,111.834,123.606,
202.5,117.9,112.005,123.795,
203,118.08,112.176,123.984,
203.5,118.26,112.347,124.173,
204,118.44,112.518,124.362,
204.5,118.62,112.689,124.551,
205,118.8,112.86,124.74,
205.5,118.98,113.031,124.929,
206,119.16,113.202,125.118,
206.5,119.34,113.373,125.307,
207,119.52,113.544,125.496,
207.5,119.7,113.715,125.685,
208,119.88,113.886,125.874,
208.5,120.06,114.057,126.063,
209,120.24,114.228,126.252,
209.5,120.42,114.399,126.441,
210,120.6,114.57,126.63,
210.5,120.78,114.741,126.819,
211,120.96,114.912,127.008,
211.5,121.14,115.083,127.197,
212,121.32,115.254,127.386,
212.5,121.5,115.425,127.575,
213,121.68,115.596,127.764,
213.5,121.86,115.767,127.953,
214,122.04,115.938,128.142,
214.5,122.22,116.109,128.331,
215,122.4,116.28,128.52,
215.5,122.58,116.451,128.709,
216,122.76,116.622,128.898,
216.5,122.94,116.793,129.087,
217,123.12,116.964,129.276,
217.5,123.3,117.135,129.465,
218,123.48,117.306,129.654,
218.5,123.66,117.477,129.843,
219,123.84,117.648,130.032,
219.5,124.02,117.819,130.221,
220,124.2,117.99,130.41,
220.5,124.38,118.161,130.599,
221,124.56,118.332,130.788,
221.5,124.74,118.503,130.977,
222,124.92,118.674,131.166,
222.5,125.1,118.845,131.355,
223,125.28,119.016,131.544,
223.5,125.46,119.187,131.733,
224,125.64,119.358,131.922,
224.5,125.82,119.529,132.111,
225,126,119.7,132.3,
225.5,125.81,119.5195,132.1005,
226,125.62,119.339,131.901,
226.5,125.43,119.1585,131.7015,
227,125.24,118.978,131.502,
227.5,125.05,118.7975,131.3025,
228,124.86,118.617,131.103,
228.5,124.67,118.4365,130.9035,
229,124.48,118.256,130.704,
229.5,124.29,118.0755,130.5045,
230,124.1,117.895,130.305,
230.5,123.91,117.7145,130.1055,
231,123.72,117.534,129.906,
231.5,123.53,117.3535,129.7065,
232,123.34,117.173,129.507,
232.5,123.15,116.9925,129.3075,
233,122.96,116.812,129.108,
233.5,122.77,116.6315,128.9085,
234,122.58,116.451,128.709,
234.5,122.39,116.2705,128.5095,
235,122.2,116.09,128.31,
235.5,122.01,115.9095,128.1105,
236,121.82,115.729,127.911,
236.5,121.63,115.5485,127.7115,
237,121.44,115.368,127.512,
237.5,121.25,115.1875,127.3125,
238,121.06,115.007,127.113,
238.5,120.87,114.8265,126.9135,
239,120.68,114.646,126.714,
239.5,120.49,114.4655,126.5145,
240,120.3,114.285,126.315,
240.5,120.11,114.1045,126.1155,
241,119.92,113.924,125.916,
241.5,119.73,113.7435,125.7165,
242,119.54,113.563,125.517,
242.5,119.35,113.3825,125.3175,
243,119.16,113.202,125.118,
243.5,118.97,113.0215,124.9185,
244,118.78,112.841,124.719,
244.5,118.59,112.6605,124.5195,
245,118.4,112.48,124.32,
245.5,118.21,112.2995,124.1205,
246,118.02,112.119,123.921,
246.5,117.83,111.9385,123.7215,
247,117.64,111.758,123.522,
247.5,117.45,111.5775,123.3225,
248,117.26,111.397,123.123,
248.5,117.07,111.2165,122.9235,
249,116.88,111.036,122.724,
249.5,116.69,110.8555,122.5245,
250,116.5,110.675,122.325,
250.5,116.31,110.4945,122.1255,
251,116.12,110.314,121.926,
251.5,115.93,110.1335,121.7265,
252,115.74,109.953,121.527,
252.5,115.55,109.7725,121.3275,
253,115.36,109.592,121.128,
253.5,115.17,109.4115,120.9285,
254,114.98,109.231,120.729,
254.5,114.79,109.0505,120.5295,
255,114.6,108.87,120.33,
255.5,114.41,108.6895,120.1305,
256,114.22,108.509,119.931,
256.5,114.03,108.3285,119.7315,
257,113.84,108.148,119.532,
257.5,113.65,107.9675,119.3325,
258,113.46,107.787,119.133,
258.5,113.27,107.6065,118.9335,
259,113.08,107.426,118.734,
259.5,112.89,107.2455,118.5345,
260,112.7,107.065,118.335,
260.5,112.51,106.8845,118.1355,
261,112.32,106.704,117.936,
261.5,112.13,106.5235,117.7365,
262,111.94,106.343,117.537,
262.5,111.75,106.1625,117.3375,
263,111.56,105.982,117.138,
263.5,111.37,105.8015,116.9385,
264,111.18,105.621,116.739,
264.5,110.99,105.4405,116.5395,
265,110.8,105.26,116.34,
265.5,110.61,105.0795,116.1405,
266,110.42,104.899,115.941,
266.5,110.23,104.7185,115.7415,
267,110.04,104.538,115.542,
267.5,109.85,104.3575,115.3425,
268,109.66,104.177,115.143,
268.5,109.47,103.9965,114.9435,
269,109.28,103.816,114.744,
269.5,109.09,103.6355,114.5445,
270,108.9,103.455,114.345,
270.5,108.71,103.2745,114.1455,
271,108.52,103.094,113.946,
271.5,108.33,102.9135,113.7465,
272,108.14,102.733,113.547,
272.5,107.95,102.5525,113.3475,
273,107.76,102.372,113.148,
273.5,107.57,102.1915,112.9485,
274,107.38,102.011,112.749,
274.5,107.19,101.8305,112.5495,
275,107,101.65,112.35,
275.5,106.81,101.4695,112.1505,
276,106.62,101.289,111.951,
276.5,106.43,101.1085,111.7515,
277,106.24,100.928,111.552,
277.5,106.05,100.7475,111.3525,
278,105.86,100.567,111.153,
278.5,105.67,100.3865,110.9535,
279,105.48,100.206,110.754,
279.5,105.29,100.0255,110.5545,
280,105.1,99.845,110.355,
280.5,104.91,99.6645,110.1555,
281,104.72,99.484,109.956,
281.5,104.53,99.3035,109.7565,
282,104.34,99.123,109.557,
282.5,104.15,98.9425,109.3575,
283,103.96,98.762,109.158,
283.5,103.77,98.5815,108.9585,
284,103.58,98.401,108.759,
284.5,103.39,98.2205,108.5595,
285,103.2,98.04,108.36,
285.5,103.01,97.8595,108.1605,
286,102.82,97.679,107.961,
286.5,102.63,97.4985,107.7615,
287,102.44,97.318,107.562,
287.5,102.25,97.1375,107.3625,
288,102.06,96.957,107.163,
288.5,101.87,96.7765,106.9635,
289,101.68,96.596,106.764,
289.5,101.49,96.4155,106.5645,
290,101.3,96.235,106.365,
290.5,101.11,96.0545,106.1655,
291,100.92,95.874,105.966,
291.5,100.73,95.6935,105.7665,
292,100.54,95.513,105.567,
292.5,100.35,95.3325,105.3675,
293,100.16,95.152,105.168,
293.5,99.97,94.9715,104.9685,
294,99.78,94.791,104.769,
294.5,99.59,94.6105,104.5695,
295,99.4,94.43,104.37,
295.5,99.21,94.2495,104.1705,
296,99.02,94.069,103.971,
296.5,98.83,93.8885,103.7715,
297,98.64,93.708,103.572,
297.5,98.45,93.5275,103.3725,
298,98.26,93.347,103.173,
298.5,98.07,93.1665,102.9735,
299,97.88,92.986,102.774,
299.5,97.69,92.8055,102.5745,
300,97.5,92.625,102.375,
300.5,97.31,92.4445,102.1755,
301,97.12,92.264,101.976,
301.5,96.93,92.0835,101.7765,
302,96.74,91.903,101.577,
302.5,96.55,91.7225,101.3775,
303,96.36,91.542,101.178,
303.5,96.17,91.3615,100.9785,
304,95.98,91.181,100.779,
304.5,95.79,91.0005,100.5795,
305,95.6,90.82,100.38,
305.5,95.41,90.6395,100.1805,
306,95.22,90.459,99.981,
306.5,95.03,90.2785,99.7815,
307,94.84,90.098,99.582,
307.5,94.65,89.9175,99.3825,
308,94.46,89.737,99.183,
308.5,94.27,89.5565,98.9835,
309,94.08,89.376,98.784,
309.5,93.89,89.1955,98.5845,
310,93.7,89.015,98.385,
310.5,93.51,88.8345,98.1855,
311,93.32,88.654,97.986,
311.5,93.13,88.4735,97.7865,
312,92.94,88.293,97.587,
312.5,92.75,88.1125,97.3875,
313,92.56,87.932,97.188,
313.5,92.37,87.7515,96.9885,
314,92.18,87.571,96.789,
314.5,91.99,87.3905,96.5895,
315,91.8,87.21,96.39,
315.5,91.61,87.0295,96.1905,
316,91.42,86.849,95.991,
316.5,91.23,86.6685,95.7915,
317,91.04,86.488,95.592,
317.5,90.85,86.3075,95.3925,
318,90.66,86.127,95.193,
318.5,90.47,85.9465,94.9935,
319,90.28,85.766,94.794,
319.5,90.09,85.5855,94.5945,
320,89.9,85.405,94.395,
320.5,89.71,85.2245,94.1955,
321,89.52,85.044,93.996,
